experiment_id,trial_id,timestamp,curve_name,curve_description,elo,tolerance,cp_loss,soundness_score,tol_at_min_elo,tol_at_max_elo
exp7,118,2026-02-25T14:04:23.321880+00:00,generous_beginner,More generous to beginners: 180 (ELO 400) to 50 (ELO 1400),1000,102.0,120,30,180.0,50.0
exp7,119,2026-02-25T14:04:23.321881+00:00,generous_beginner,More generous to beginners: 180 (ELO 400) to 50 (ELO 1400),1000,102.0,200,14,180.0,50.0
exp7,120,2026-02-25T14:04:23.321882+00:00,generous_beginner,More generous to beginners: 180 (ELO 400) to 50 (ELO 1400),1000,102.0,300,5,180.0,50.0
exp7,121,2026-02-25T14:04:23.321884+00:00,generous_beginner,More generous to beginners: 180 (ELO 400) to 50 (ELO 1400),1200,76.0,0,100,180.0,50.0
exp7,122,2026-02-25T14:04:23.321886+00:00,generous_beginner,More generous to beginners: 180 (ELO 400) to 50 (ELO 1400),1200,76.0,10,87,180.0,50.0
exp7,123,2026-02-25T14:04:23.321887+00:00,generous_beginner,More generous to beginners: 180 (ELO 400) to 50 (ELO 1400),1200,76.0,30,67,180.0,50.0
exp7,124,2026-02-25T14:04:23.321889+00:00,generous_beginner,More generous to beginners: 180 (ELO 400) to 50 (ELO 1400),1200,76.0,50,51,180.0,50.0
exp7,125,2026-02-25T14:04:23.321890+00:00,generous_beginner,More generous to beginners: 180 (ELO 400) to 50 (ELO 1400),1200,76.0,80,34,180.0,50.0
exp7,126,2026-02-25T14:04:23.321891+00:00,generous_beginner,More generous to beginners: 180 (ELO 400) to 50 (ELO 1400),1200,76.0,120,20,180.0,50.0
exp7,127,2026-02-25T14:04:23.321893+00:00,generous_beginner,More generous to beginners: 180 (ELO 400) to 50 (ELO 1400),1200,76.0,200,7,180.0,50.0
exp7,128,2026-02-25T14:04:23.321894+00:00,generous_beginner,More generous to beginners: 180 (ELO 400) to 50 (ELO 1400),1200,76.0,300,1,180.0,50.0
exp7,129,2026-02-25T14:04:23.321897+00:00,strict_all,Strict across board: 100 (ELO 400) to 35 (ELO 1400),500,93.5,0,100,100.0,35.0
exp7,130,2026-02-25T14:04:23.321899+00:00,strict_all,Strict across board: 100 (ELO 400) to 35 (ELO 1400),500,93.5,10,89,100.0,35.0
exp7,131,2026-02-25T14:04:23.321900+00:00,strict_all,Strict across board: 100 (ELO 400) to 35 (ELO 1400),500,93.5,30,72,100.0,35.0
exp7,132,2026-02-25T14:04:23.321902+00:00,strict_all,Strict across board: 100 (ELO 400) to 35 (ELO 1400),500,93.5,50,58,100.0,35.0
exp7,133,2026-02-25T14:04:23.321903+00:00,strict_all,Strict across board: 100 (ELO 400) to 35 (ELO 1400),500,93.5,80,42,100.0,35.0
exp7,134,2026-02-25T14:04:23.321905+00:00,strict_all,Strict across board: 100 (ELO 400) to 35 (ELO 1400),500,93.5,120,27,100.0,35.0
exp7,135,2026-02-25T14:04:23.321906+00:00,strict_all,Strict across board: 100 (ELO 400) to 35 (ELO 1400),500,93.5,200,11,100.0,35.0
exp7,136,2026-02-25T14:04:23.321907+00:00,strict_all,Strict across board: 100 (ELO 400) to 35 (ELO 1400),500,93.5,300,4,100.0,35.0
exp7,137,2026-02-25T14:04:23.321909+00:00,strict_all,Strict across board: 100 (ELO 400) to 35 (ELO 1400),800,74.0,0,100,100.0,35.0
exp7,138,2026-02-25T14:04:23.321910+00:00,strict_all,Strict across board: 100 (ELO 400) to 35 (ELO 1400),800,74.0,10,87,100.0,35.0
exp7,139,2026-02-25T14:04:23.321912+00:00,strict_all,Strict across board: 100 (ELO 400) to 35 (ELO 1400),800,74.0,30,66,100.0,35.0
exp7,140,2026-02-25T14:04:23.321913+00:00,strict_all,Strict across board: 100 (ELO 400) to 35 (ELO 1400),800,74.0,50,50,100.0,35.0
exp7,141,2026-02-25T14:04:23.321915+00:00,strict_all,Strict across board: 100 (ELO 400) to 35 (ELO 1400),800,74.0,80,33,100.0,35.0
exp7,142,2026-02-25T14:04:23.321916+00:00,strict_all,Strict across board: 100 (ELO 400) to 35 (ELO 1400),800,74.0,120,19,100.0,35.0
exp7,143,2026-02-25T14:04:23.321917+00:00,strict_all,Strict across board: 100 (ELO 400) to 35 (ELO 1400),800,74.0,200,6,100.0,35.0
exp7,144,2026-02-25T14:04:23.321919+00:00,strict_all,Strict across board: 100 (ELO 400) to 35 (ELO 1400),800,74.0,300,1,100.0,35.0
exp7,145,2026-02-25T14:04:23.321921+00:00,strict_all,Strict across board: 100 (ELO 400) to 35 (ELO 1400),1000,61.0,0,100,100.0,35.0
exp7,146,2026-02-25T14:04:23.321922+00:00,strict_all,Strict across board: 100 (ELO 400) to 35 (ELO 1400),1000,61.0,10,84,100.0,35.0
exp7,147,2026-02-25T14:04:23.321924+00:00,strict_all,Strict across board: 100 (ELO 400) to 35 (ELO 1400),1000,61.0,30,61,100.0,35.0
exp7,148,2026-02-25T14:04:23.321925+00:00,strict_all,Strict across board: 100 (ELO 400) to 35 (ELO 1400),1000,61.0,50,44,100.0,35.0
exp7,149,2026-02-25T14:04:23.321926+00:00,strict_all,Strict across board: 100 (ELO 400) to 35 (ELO 1400),1000,61.0,80,26,100.0,35.0
exp7,150,2026-02-25T14:04:23.321928+00:00,strict_all,Strict across board: 100 (ELO 400) to 35 (ELO 1400),1000,61.0,120,13,100.0,35.0
exp7,151,2026-02-25T14:04:23.321930+00:00,strict_all,Strict across board: 100 (ELO 400) to 35 (ELO 1400),1000,61.0,200,3,100.0,35.0
exp7,152,2026-02-25T14:04:23.321931+00:00,strict_all,Strict across board: 100 (ELO 400) to 35 (ELO 1400),1000,61.0,300,0,100.0,35.0
exp7,153,2026-02-25T14:04:23.321933+00:00,strict_all,Strict across board: 100 (ELO 400) to 35 (ELO 1400),1200,48.0,0,100,100.0,35.0
exp7,154,2026-02-25T14:04:23.321935+00:00,strict_all,Strict across board: 100 (ELO 400) to 35 (ELO 1400),1200,48.0,10,81,100.0,35.0
exp7,155,2026-02-25T14:04:23.321936+00:00,strict_all,Strict across board: 100 (ELO 400) to 35 (ELO 1400),1200,48.0,30,53,100.0,35.0
exp7,156,2026-02-25T14:04:23.321938+00:00,strict_all,Strict across board: 100 (ELO 400) to 35 (ELO 1400),1200,48.0,50,35,100.0,35.0
exp7,157,2026-02-25T14:04:23.321939+00:00,strict_all,Strict across board: 100 (ELO 400) to 35 (ELO 1400),1200,48.0,80,18,100.0,35.0
exp7,158,2026-02-25T14:04:23.321940+00:00,strict_all,Strict across board: 100 (ELO 400) to 35 (ELO 1400),1200,48.0,120,8,100.0,35.0
exp7,159,2026-02-25T14:04:23.321942+00:00,strict_all,Strict across board: 100 (ELO 400) to 35 (ELO 1400),1200,48.0,200,1,100.0,35.0
exp7,160,2026-02-25T14:04:23.321943+00:00,strict_all,Strict across board: 100 (ELO 400) to 35 (ELO 1400),1200,48.0,300,0,100.0,35.0
exp7,161,2026-02-25T14:04:23.321945+00:00,extended_elo,Extended ELO range: 130 (ELO 200) to 40 (ELO 1800),500,113.1,0,100,130.0,40.0
exp7,162,2026-02-25T14:04:23.321947+00:00,extended_elo,Extended ELO range: 130 (ELO 200) to 40 (ELO 1800),500,113.1,10,91,130.0,40.0
